Employee_No,Employee_Code,Name,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Basic Salary_0
589,4845,Alison Graham,Male,1,Married,36,2019-08-01,0000-00-00,Inactive,2020-11-19,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1961,29379.0
590,4846,Haleigh McCullough,Male,5,Single,22,2019-08-01,0000-00-00,Inactive,2019-12-31,\N,Staff,Contarct Basis,Muslim,Technical Officer,1993,28034.5
591,4847,Kelsi Effertz,Male,1,Married,22,2019-08-01,0000-00-00,Inactive,2019-12-14,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1995,28034.5
592,4848,Prof Cleta Hackett Jr,Male,1,Married,22,2019-08-15,0000-00-00,Inactive,2020-01-31,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991,27945.0
594,4853,Sophie Turner,Male,1,Single,22,2019-08-02,0000-00-00,Inactive,2019-12-07,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1992,27789.5
595,4854,Joaquin Wisozk,Male,1,Married,27,2019-08-01,0000-00-00,Inactive,2019-11-30,\N,Staff,Contarct Basis,Buddhist,Supervisor,1993,26140.0
596,4855,Deontae Zemlak,Male,1,Single,22,2019-08-22,0000-00-00,Active,0000-00-00,1964,Staff,Contarct Basis,Buddhist,Technical Officer,1991,26000.0
597,4932,Jeanie McLaughlin,Female,1,Single,157,2019-12-01,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Business Analyst,1988,30000.0
599,4941,Donnell Walsh,Male,1,Married,22,2020-01-13,0000-00-00,Inactive,2020-06-24,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1961,24708.5
601,4943,Luna Harris DDS,Female,1,Single,48,2020-01-27,2021-11-26,Inactive,2021-11-30,1538,Staff,Contarct Basis,Buddhist,Draughtsman,1996,25000.0
603,4938,Prof Delores Barrows,Male,3,Single,22,2020-01-06,0000-00-00,Inactive,2020-01-31,\N,Staff,Contarct Basis,Hindu,Technical Officer,1993,27391.833333333336
604,4939,Prof Torey DuBuque,Male,1,Married,33,2020-01-13,2021-07-30,Inactive,2021-07-30,1333,Staff,Contarct Basis,Buddhist,Site Engineer,1981,70000.0
605,4927,Stella Aufderhar,Male,1,Married,6,2019-12-02,0000-00-00,Inactive,2020-09-18,605,Staff,Contarct Basis,Buddhist,Project Manager,1984,78030.0
606,4929,Prof Kameron Murphy Sr,Male,1,Married,7,2019-12-04,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1996,25000.0
607,4930,Alessandra Hermann,Female,1,Single,89,2019-12-04,2021-05-03,Inactive,2021-05-03,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,1993,32366.0
608,4931,Stone Hyatt I,Male,3,Single,22,2019-12-10,2021-03-14,Inactive,2021-02-14,\N,Staff,Contarct Basis,Hindu,Technical Officer,1994,29572.75
609,4933,Ms Wilma Lowe,Female,1,Married,84,2019-12-26,0000-00-00,Inactive,2020-07-31,\N,Staff,Contarct Basis,Buddhist,HR Executive,1986,38884.0
610,4934,Dr Sigmund Bartell,Male,3,Married,9,2019-12-30,2022-09-12,Inactive,2022-09-12,\N,Staff,Contarct Basis,Hindu,Assistance QS,1995,20000.0
611,4935,Corene Hyatt Sr,Male,1,Married,27,2019-12-30,2022-04-30,Inactive,2022-04-30,\N,Staff,Contarct Basis,Buddhist,Supervisor,1971,20000.0
614,4817,Laurence Hamill,Male,1,Married,7,2019-07-01,2021-07-31,Inactive,2021-07-31,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1946,18000.0
615,4580,Mr Wilfredo Schmidt DVM,Male,1,Married,33,2019-02-26,2021-10-31,Inactive,2021-10-31,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1987,60000.0
616,4827,Charlotte Bauch,Male,3,Single,8,2019-07-24,2022-02-28,Inactive,2022-02-28,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993,30000.0
617,4684,Marcelo Lubowitz II,Male,5,Single,33,2019-04-23,0000-00-00,Inactive,2020-09-29,\N,Staff,Contarct Basis,Muslim,Site Engineer,1994,52385.5
618,4829,Fermin Medhurst,Male,1,Married,64,2019-07-24,2022-02-26,Inactive,2022-02-26,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1984,30000.0
619,4831,Jamie Ortiz,Male,1,Single,27,2019-07-23,2021-07-30,Inactive,2021-07-30,1333,Staff,Contarct Basis,Buddhist,Supervisor,1991,4500.0
620,4832,Jacky Luettgen,Male,1,Single,27,2019-07-23,0000-00-00,Active,0000-00-00,1964,Staff,Contarct Basis,Buddhist,Supervisor,1993,20000.0
621,4810,Prof Vinnie Waelchi,Male,1,Single,8,2019-07-01,2021-11-30,Inactive,2021-11-30,1538,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987,40000.0
622,4862,Demetris Heaney,Male,1,Single,36,2019-09-15,0000-00-00,Inactive,2020-11-23,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1990,30335.0
